module,time_s,peak_kb,ir_lines,status,seed_version
ast,0.36,89664,281,ok,sfn 0.5.2-alpha.1
cli_commands,19.13,2332220,7161,ok,sfn 0.5.2-alpha.1
cli_commands_utils,0.90,211964,2425,ok,sfn 0.5.2-alpha.1
cli_main,9.47,1205920,4514,ok,sfn 0.5.2-alpha.1
decorator_semantics,0.07,22264,433,ok,sfn 0.5.2-alpha.1
effect_checker,3.72,919364,7684,ok,sfn 0.5.2-alpha.1
emit_native,9.42,2014016,11371,ok,sfn 0.5.2-alpha.1
emit_native_format,2.32,582576,4186,ok,sfn 0.5.2-alpha.1
emit_native_layout,2.90,670844,4125,ok,sfn 0.5.2-alpha.1
emit_native_state,0.80,188604,1686,ok,sfn 0.5.2-alpha.1
emitter_sailfin,8.46,1854112,9754,ok,sfn 0.5.2-alpha.1
emitter_sailfin_expr,1.20,317112,3095,ok,sfn 0.5.2-alpha.1
emitter_sailfin_utils,0.39,94988,1145,ok,sfn 0.5.2-alpha.1
lexer,1.03,255644,2388,ok,sfn 0.5.2-alpha.1
llvm__effects,4.61,908012,7362,ok,sfn 0.5.2-alpha.1
llvm__expression_lowering__arrays,1.93,420160,2407,ok,sfn 0.5.2-alpha.1
llvm__expression_lowering__bindings,0.58,127128,829,ok,sfn 0.5.2-alpha.1
llvm__expression_lowering__native__core,18.74,3314296,5110,ok,sfn 0.5.2-alpha.1
llvm__expression_lowering__native__core_addressing,0.78,167444,572,ok,sfn 0.5.2-alpha.1
llvm__expression_lowering__native__core_bindings,0.39,87944,374,ok,sfn 0.5.2-alpha.1
llvm__expression_lowering__native__core_borrow_lowering,0.83,183288,630,ok,sfn 0.5.2-alpha.1
llvm__expression_lowering__native__core_call_emission,11.32,1469832,3112,ok,sfn 0.5.2-alpha.1
llvm__expression_lowering__native__core_call_lowering,5.03,931992,3954,ok,sfn 0.5.2-alpha.1
llvm__expression_lowering__native__core_call_resolution,19.14,2768872,9509,ok,sfn 0.5.2-alpha.1
llvm__expression_lowering__native__core_calls,0.63,155160,2143,ok,sfn 0.5.2-alpha.1
llvm__expression_lowering__native__core_helpers,0.73,160240,661,ok,sfn 0.5.2-alpha.1
llvm__expression_lowering__native__core_index_lowering,2.71,543692,2677,ok,sfn 0.5.2-alpha.1
llvm__expression_lowering__native__core_literals_lowering,11.08,1854896,6786,ok,sfn 0.5.2-alpha.1
llvm__expression_lowering__native__core_match_helpers,0.30,66936,321,ok,sfn 0.5.2-alpha.1
llvm__expression_lowering__native__core_member_helpers,1.52,292984,1574,ok,sfn 0.5.2-alpha.1
llvm__expression_lowering__native__core_member_lowering,8.30,1548772,6958,ok,sfn 0.5.2-alpha.1
llvm__expression_lowering__native__core_operands,7.01,1456048,7781,ok,sfn 0.5.2-alpha.1
llvm__expression_lowering__native__core_operators,1.77,392912,3874,ok,sfn 0.5.2-alpha.1
llvm__expression_lowering__native__core_ops_lowering,7.05,1442500,6424,ok,sfn 0.5.2-alpha.1
llvm__expression_lowering__native__core_ownership,1.40,309344,1333,ok,sfn 0.5.2-alpha.1
llvm__expression_lowering__native__core_parse,5.02,1015588,10330,ok,sfn 0.5.2-alpha.1
llvm__expression_lowering__native__core_parsing,2.29,504208,3613,ok,sfn 0.5.2-alpha.1
llvm__expression_lowering__native__core_scopes,1.20,267964,1091,ok,sfn 0.5.2-alpha.1
llvm__expression_lowering__native__core_strings,1.83,339148,1530,ok,sfn 0.5.2-alpha.1
llvm__expression_lowering__native__core_text,2.14,469980,4169,ok,sfn 0.5.2-alpha.1
llvm__expression_lowering__native__core_type_mapping,1.91,405792,3350,ok,sfn 0.5.2-alpha.1
llvm__expression_lowering__native__mod,0.02,10500,186,ok,sfn 0.5.2-alpha.1
llvm__expression_lowering__native__statement,18.43,2576076,5947,ok,sfn 0.5.2-alpha.1
llvm__expression_lowering__native__statement_assignment,12.61,1882772,5231,ok,sfn 0.5.2-alpha.1
llvm__expression_lowering__native__statement_parsing,1.08,248384,2266,ok,sfn 0.5.2-alpha.1
llvm__expression_lowering__native__statement_suspension,1.86,369940,1780,ok,sfn 0.5.2-alpha.1
llvm__expression_lowering__native__statement_type_mapping,1.74,357780,2912,ok,sfn 0.5.2-alpha.1
llvm__expression_lowering__splitting,0.53,121388,1360,ok,sfn 0.5.2-alpha.1
llvm__expressions,0.02,10244,186,ok,sfn 0.5.2-alpha.1
llvm__expressions_bindings,0.47,113088,769,ok,sfn 0.5.2-alpha.1
llvm__expressions_helpers,0.84,181992,1435,ok,sfn 0.5.2-alpha.1
llvm__expressions_literals,0.74,168152,1623,ok,sfn 0.5.2-alpha.1
llvm__expressions_operators,1.09,240908,2661,ok,sfn 0.5.2-alpha.1
llvm__expressions_parsing,2.22,510620,4869,ok,sfn 0.5.2-alpha.1
llvm__imports,4.33,710816,3187,ok,sfn 0.5.2-alpha.1
llvm__lifetime,3.76,847492,4252,ok,sfn 0.5.2-alpha.1
llvm__lowering__emission,17.19,2374972,6338,ok,sfn 0.5.2-alpha.1
llvm__lowering__emission_async,3.13,595288,1892,ok,sfn 0.5.2-alpha.1
llvm__lowering__emission_header,0.34,73888,402,ok,sfn 0.5.2-alpha.1
llvm__lowering__entrypoints,8.08,1495228,2381,ok,sfn 0.5.2-alpha.1
llvm__lowering__entrypoints_tests,4.00,772016,1094,ok,sfn 0.5.2-alpha.1
llvm__lowering__entrypoints_tests_writer,7.25,1100772,1148,ok,sfn 0.5.2-alpha.1
llvm__lowering__instructions,11.83,1852816,6547,ok,sfn 0.5.2-alpha.1
llvm__lowering__instructions_condition,2.38,490784,1694,ok,sfn 0.5.2-alpha.1
llvm__lowering__instructions_dispatch,26.20,3102736,2303,ok,sfn 0.5.2-alpha.1
llvm__lowering__instructions_for,5.21,1008132,2484,ok,sfn 0.5.2-alpha.1
llvm__lowering__instructions_for_range,5.65,1085380,3880,ok,sfn 0.5.2-alpha.1
llvm__lowering__instructions_helpers,10.43,1392596,2943,ok,sfn 0.5.2-alpha.1
llvm__lowering__instructions_if,7.68,1530344,6979,ok,sfn 0.5.2-alpha.1
llvm__lowering__instructions_let,16.54,2269924,4924,ok,sfn 0.5.2-alpha.1
llvm__lowering__instructions_loops,8.02,1499236,6677,ok,sfn 0.5.2-alpha.1
llvm__lowering__instructions_match,9.07,1715756,6804,ok,sfn 0.5.2-alpha.1
llvm__lowering__instructions_match_condition,4.36,890688,3811,ok,sfn 0.5.2-alpha.1
llvm__lowering__instructions_try,4.83,941672,2889,ok,sfn 0.5.2-alpha.1
llvm__lowering__lowering_core,58.02,7582876,8082,ok,sfn 0.5.2-alpha.1
llvm__lowering__lowering_helpers,6.30,1365700,5821,ok,sfn 0.5.2-alpha.1
llvm__lowering__lowering_helpers_mangling,4.10,793452,3896,ok,sfn 0.5.2-alpha.1
llvm__lowering__lowering_io,1.56,264568,1341,ok,sfn 0.5.2-alpha.1
llvm__lowering__lowering_native_helpers,1.16,292184,1516,ok,sfn 0.5.2-alpha.1
llvm__lowering__lowering_phase_functions,19.04,2398536,2705,ok,sfn 0.5.2-alpha.1
llvm__lowering__lowering_phase_imports,0.70,164756,427,ok,sfn 0.5.2-alpha.1
llvm__lowering__lowering_phase_render,2.65,460200,1760,ok,sfn 0.5.2-alpha.1
llvm__lowering__lowering_phase_sanitize,16.00,2111564,2817,ok,sfn 0.5.2-alpha.1
llvm__lowering__lowering_phase_types,6.71,964732,2871,ok,sfn 0.5.2-alpha.1
llvm__lowering__lowering_recovery,14.23,2228924,12941,ok,sfn 0.5.2-alpha.1
llvm__lowering__lowering_text_utils,1.05,241096,1721,ok,sfn 0.5.2-alpha.1
llvm__lowering__module_globals,6.24,894440,2068,ok,sfn 0.5.2-alpha.1
llvm__lowering__phi,1.83,434456,3071,ok,sfn 0.5.2-alpha.1
llvm__mod,0.09,27060,186,ok,sfn 0.5.2-alpha.1
llvm__rendering,2.45,526276,3967,ok,sfn 0.5.2-alpha.1
llvm__rendering_helpers,2.15,443836,3262,ok,sfn 0.5.2-alpha.1
llvm__runtime_helpers,3.55,770564,6908,ok,sfn 0.5.2-alpha.1
llvm__strings,0.87,171608,1343,ok,sfn 0.5.2-alpha.1
llvm__type_context,3.22,762900,3567,ok,sfn 0.5.2-alpha.1
llvm__type_context_queries,2.51,524048,2856,ok,sfn 0.5.2-alpha.1
llvm__type_mapping,2.67,539116,5020,ok,sfn 0.5.2-alpha.1
llvm__types,1.16,296372,309,ok,sfn 0.5.2-alpha.1
llvm__utils,1.77,379356,3523,ok,sfn 0.5.2-alpha.1
main,37.47,4420688,4639,ok,sfn 0.5.2-alpha.1
native_ir,0.34,94424,226,ok,sfn 0.5.2-alpha.1
native_ir_api,2.39,572972,2778,ok,sfn 0.5.2-alpha.1
native_ir_parser,2.84,645244,4006,ok,sfn 0.5.2-alpha.1
native_ir_parser_defs,3.75,858356,5305,ok,sfn 0.5.2-alpha.1
native_ir_parser_instructions,1.39,326692,2346,ok,sfn 0.5.2-alpha.1
native_ir_utils_layout,2.53,606704,6023,ok,sfn 0.5.2-alpha.1
native_ir_utils_parse,3.85,903688,5886,ok,sfn 0.5.2-alpha.1
native_ir_utils_text,0.85,220572,2803,ok,sfn 0.5.2-alpha.1
parser__declarations,15.06,3018572,11729,ok,sfn 0.5.2-alpha.1
parser__expressions,6.30,1399872,7369,ok,sfn 0.5.2-alpha.1
parser__mod,1.76,298332,1052,ok,sfn 0.5.2-alpha.1
parser__statements,6.85,1442912,7251,ok,sfn 0.5.2-alpha.1
parser__token_utils,3.42,762420,7846,ok,sfn 0.5.2-alpha.1
parser__types,0.47,129972,254,ok,sfn 0.5.2-alpha.1
parser__utils,0.34,92728,1122,ok,sfn 0.5.2-alpha.1
string_utils,0.39,92704,760,ok,sfn 0.5.2-alpha.1
token,0.03,9948,202,ok,sfn 0.5.2-alpha.1
toml_parser,0.60,145036,2230,ok,sfn 0.5.2-alpha.1
typecheck,4.41,1134820,7517,ok,sfn 0.5.2-alpha.1
typecheck_types,1.90,504644,3479,ok,sfn 0.5.2-alpha.1
version,0.20,55484,743,ok,sfn 0.5.2-alpha.1
