module,time_s,peak_kb,ir_lines,status,seed_version
ast,0.32,89672,281,ok,sfn 0.5.2-alpha.1
cli_commands,18.00,2332220,7161,ok,sfn 0.5.2-alpha.1
cli_commands_utils,0.81,211868,2425,ok,sfn 0.5.2-alpha.1
cli_main,8.53,1205244,4514,ok,sfn 0.5.2-alpha.1
decorator_semantics,0.06,22252,433,ok,sfn 0.5.2-alpha.1
effect_checker,3.53,919208,7684,ok,sfn 0.5.2-alpha.1
emit_native,8.72,2013324,11371,ok,sfn 0.5.2-alpha.1
emit_native_format,2.19,582760,4186,ok,sfn 0.5.2-alpha.1
emit_native_layout,2.66,670840,4125,ok,sfn 0.5.2-alpha.1
emit_native_state,0.75,188560,1686,ok,sfn 0.5.2-alpha.1
emitter_sailfin,7.67,1853732,9754,ok,sfn 0.5.2-alpha.1
emitter_sailfin_expr,1.16,317072,3095,ok,sfn 0.5.2-alpha.1
emitter_sailfin_utils,0.36,94840,1145,ok,sfn 0.5.2-alpha.1
lexer,0.95,255540,2388,ok,sfn 0.5.2-alpha.1
llvm__effects,4.09,908524,7362,ok,sfn 0.5.2-alpha.1
llvm__expression_lowering__arrays,1.80,419968,2407,ok,sfn 0.5.2-alpha.1
llvm__expression_lowering__bindings,0.51,127200,829,ok,sfn 0.5.2-alpha.1
llvm__expression_lowering__native__core,17.69,3313308,5110,ok,sfn 0.5.2-alpha.1
llvm__expression_lowering__native__core_addressing,0.74,167204,572,ok,sfn 0.5.2-alpha.1
llvm__expression_lowering__native__core_bindings,0.38,87868,374,ok,sfn 0.5.2-alpha.1
llvm__expression_lowering__native__core_borrow_lowering,0.78,182952,630,ok,sfn 0.5.2-alpha.1
llvm__expression_lowering__native__core_call_emission,10.64,1469200,3112,ok,sfn 0.5.2-alpha.1
llvm__expression_lowering__native__core_call_lowering,4.80,931120,3954,ok,sfn 0.5.2-alpha.1
llvm__expression_lowering__native__core_call_resolution,18.97,2768044,9509,ok,sfn 0.5.2-alpha.1
llvm__expression_lowering__native__core_calls,0.66,155064,2143,ok,sfn 0.5.2-alpha.1
llvm__expression_lowering__native__core_helpers,0.75,160092,661,ok,sfn 0.5.2-alpha.1
llvm__expression_lowering__native__core_index_lowering,2.72,543172,2677,ok,sfn 0.5.2-alpha.1
llvm__expression_lowering__native__core_literals_lowering,11.80,1853928,6786,ok,sfn 0.5.2-alpha.1
llvm__expression_lowering__native__core_match_helpers,0.30,66932,321,ok,sfn 0.5.2-alpha.1
llvm__expression_lowering__native__core_member_helpers,1.58,292740,1574,ok,sfn 0.5.2-alpha.1
llvm__expression_lowering__native__core_member_lowering,8.33,1548208,6958,ok,sfn 0.5.2-alpha.1
llvm__expression_lowering__native__core_operands,7.22,1455368,7781,ok,sfn 0.5.2-alpha.1
llvm__expression_lowering__native__core_operators,1.77,392568,3874,ok,sfn 0.5.2-alpha.1
llvm__expression_lowering__native__core_ops_lowering,7.00,1441988,6424,ok,sfn 0.5.2-alpha.1
llvm__expression_lowering__native__core_ownership,1.38,308860,1333,ok,sfn 0.5.2-alpha.1
llvm__expression_lowering__native__core_parse,5.07,1015076,10330,ok,sfn 0.5.2-alpha.1
llvm__expression_lowering__native__core_parsing,2.27,503732,3613,ok,sfn 0.5.2-alpha.1
llvm__expression_lowering__native__core_scopes,1.18,267736,1091,ok,sfn 0.5.2-alpha.1
llvm__expression_lowering__native__core_strings,1.83,338576,1530,ok,sfn 0.5.2-alpha.1
llvm__expression_lowering__native__core_text,2.16,469844,4169,ok,sfn 0.5.2-alpha.1
